"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 11월 23일","822,000","831,000","836,000","819,000","0.02K","-0.72%"
"2020년 11월 22일","828,000","828,000","828,000","828,000","-","0.00%"
"2020년 11월 20일","828,000","831,000","832,000","814,000","75.44K","0.00%"
"2020년 11월 19일","828,000","798,000","830,000","798,000","0.00K","3.50%"
"2020년 11월 18일","800,000","783,000","808,000","783,000","0.01K","1.39%"
"2020년 11월 17일","789,000","794,000","794,000","782,000","104.85K","-1.38%"
"2020년 11월 16일","800,000","808,000","811,000","795,000","0.07K","-0.99%"
"2020년 11월 15일","808,000","808,000","808,000","808,000","-","0.00%"
"2020년 11월 13일","808,000","791,000","809,000","791,000","70.59K","2.15%"
"2020년 11월 12일","791,000","796,000","809,000","791,000","0.00K","-1.25%"
"2020년 11월 11일","801,000","784,000","807,000","783,000","0.00K","0.50%"
"2020년 11월 10일","797,000","803,000","817,000","797,000","0.00K","-5.57%"
"2020년 11월 09일","844,000","841,000","852,000","838,000","0.01K","-0.47%"
"2020년 11월 08일","848,000","848,000","848,000","848,000","-","0.00%"
"2020년 11월 06일","848,000","836,000","848,000","830,000","91.14K","0.59%"
"2020년 11월 05일","843,000","845,000","846,000","829,000","0.00K","0.72%"
"2020년 11월 04일","837,000","791,000","838,000","788,000","0.11K","7.03%"
"2020년 11월 03일","782,000","778,000","792,000","778,000","48.29K","0.51%"
"2020년 11월 02일","778,000","782,000","795,000","777,000","48.52K","0.26%"
"2020년 11월 01일","776,000","776,000","776,000","776,000","-","0.00%"
"2020년 10월 30일","776,000","811,000","813,000","774,000","91.51K","-4.55%"
"2020년 10월 29일","813,000","797,000","815,000","793,000","0.00K","1.37%"
"2020년 10월 28일","802,000","776,000","803,000","775,000","77.87K","2.56%"
"2020년 10월 27일","782,000","785,000","800,000","780,000","74.93K","-1.76%"
"2020년 10월 26일","796,000","795,000","809,000","788,000","0.00K","0.00%"
"2020년 10월 25일","796,000","796,000","796,000","796,000","-","0.00%"
"2020년 10월 23일","796,000","816,000","816,000","791,000","80.62K","-1.85%"
"2020년 10월 22일","811,000","807,000","820,000","798,000","84.81K","0.25%"
"2020년 10월 21일","809,000","798,000","813,000","794,000","0.01K","1.89%"
"2020년 10월 20일","794,000","780,000","796,000","774,000","0.01K","2.98%"
"2020년 10월 19일","771,000","774,000","781,000","770,000","0.00K","0.52%"
"2020년 10월 18일","767,000","767,000","767,000","767,000","-","0.00%"
"2020년 10월 16일","767,000","753,000","774,000","746,000","135.73K","2.27%"
"2020년 10월 15일","750,000","751,000","756,000","746,000","0.01K","-0.27%"
"2020년 10월 14일","752,000","751,000","758,000","751,000","66.33K","-0.27%"
"2020년 10월 13일","754,000","755,000","760,000","751,000","77.33K","0.00%"
"2020년 10월 12일","754,000","755,000","763,000","750,000","121.16K","0.40%"
"2020년 10월 11일","751,000","751,000","751,000","751,000","-","0.00%"
"2020년 10월 08일","751,000","750,000","768,000","750,000","196.22K","-2.21%"
"2020년 10월 07일","768,000","781,000","785,000","761,000","170.61K","-2.54%"
"2020년 10월 06일","788,000","793,000","794,000","786,000","0.01K","-0.13%"
"2020년 10월 05일","789,000","810,000","811,000","780,000","94.55K","-2.11%"
"2020년 09월 29일","806,000","809,000","810,000","791,000","69.00K","0.88%"
"2020년 09월 28일","799,000","794,000","808,000","784,000","76.87K","1.91%"
"2020년 09월 25일","784,000","797,000","797,000","778,000","67.69K","-0.38%"
"2020년 09월 24일","787,000","796,000","799,000","785,000","0.06K","-2.24%"
"2020년 09월 23일","805,000","790,000","810,000","787,000","0.01K","2.29%"
"2020년 09월 22일","787,000","807,000","813,000","785,000","101.06K","-2.11%"
"2020년 09월 21일","804,000","812,000","824,000","804,000","0.02K","-2.07%"
"2020년 09월 20일","821,000","821,000","821,000","821,000","-","0.00%"
"2020년 09월 18일","821,000","810,000","823,000","806,000","83.80K","1.99%"
"2020년 09월 17일","805,000","822,000","822,000","802,000","0.05K","-2.07%"
"2020년 09월 16일","822,000","826,000","847,000","822,000","0.00K","-0.24%"
"2020년 09월 15일","824,000","820,000","833,000","817,000","70.34K","-0.72%"
"2020년 09월 14일","830,000","824,000","830,000","806,000","0.00K","1.47%"
"2020년 09월 11일","818,000","827,000","839,000","810,000","99.56K","-1.45%"
"2020년 09월 10일","830,000","802,000","839,000","799,000","0.04K","4.93%"
"2020년 09월 09일","791,000","804,000","809,000","791,000","0.01K","-2.47%"
"2020년 09월 08일","811,000","814,000","818,000","809,000","0.01K","-0.12%"
"2020년 09월 07일","812,000","816,000","819,000","809,000","0.00K","-0.12%"
"2020년 09월 06일","813,000","813,000","813,000","813,000","-","0.00%"
"2020년 09월 04일","813,000","813,000","825,000","808,000","122.91K","-2.63%"
"2020년 09월 03일","835,000","845,000","850,000","833,000","0.05K","-1.76%"
"2020년 09월 02일","850,000","840,000","855,000","834,000","107.69K","2.66%"
"2020년 09월 01일","828,000","821,000","834,000","819,000","91.51K","0.36%"
"2020년 08월 31일","825,000","859,000","862,000","822,000","132.89K","-3.62%"
"2020년 08월 30일","856,000","856,000","856,000","856,000","-","0.00%"
"2020년 08월 28일","856,000","865,000","865,000","843,000","99.21K","-0.81%"
"2020년 08월 27일","863,000","822,000","867,000","821,000","0.03K","5.50%"
"2020년 08월 26일","818,000","827,000","830,000","816,000","0.01K","-0.97%"
"2020년 08월 25일","826,000","839,000","841,000","817,000","0.02K","-1.78%"
"2020년 08월 24일","841,000","826,000","842,000","813,000","0.01K","2.19%"
"2020년 08월 23일","823,000","823,000","823,000","823,000","-","0.00%"
"2020년 08월 21일","823,000","799,000","825,000","792,000","157.18K","5.11%"
"2020년 08월 20일","783,000","832,000","843,000","780,000","0.00K","-6.90%"
"2020년 08월 19일","841,000","836,000","849,000","823,000","0.06K","0.84%"
"2020년 08월 18일","834,000","878,000","887,000","825,000","0.01K","-4.36%"
"2020년 08월 17일","872,000","872,000","872,000","872,000","-","0.00%"
"2020년 08월 14일","872,000","898,000","898,000","859,000","133.13K","-2.79%"
"2020년 08월 13일","897,000","836,000","905,000","835,000","0.13K","5.53%"
"2020년 08월 12일","850,000","836,000","850,000","827,000","0.92K","1.19%"
"2020년 08월 11일","840,000","828,000","846,000","813,000","0.07K","-0.12%"
"2020년 08월 10일","841,000","865,000","865,000","835,000","0.24K","-2.77%"
"2020년 08월 09일","865,000","865,000","865,000","865,000","-","0.00%"
"2020년 08월 07일","865,000","860,000","885,000","856,000","141.25K","1.29%"
"2020년 08월 06일","854,000","847,000","854,000","840,000","0.00K","0.95%"
"2020년 08월 05일","846,000","841,000","847,000","836,000","69.02K","0.00%"
"2020년 08월 04일","846,000","852,000","860,000","828,000","0.03K","0.24%"
"2020년 08월 03일","844,000","817,000","844,000","816,000","0.01K","4.07%"
"2020년 08월 02일","811,000","811,000","811,000","811,000","-","0.00%"
"2020년 07월 31일","811,000","832,000","832,000","810,000","100.15K","-1.70%"
"2020년 07월 30일","825,000","817,000","832,000","807,000","0.05K","1.60%"
"2020년 07월 29일","812,000","797,000","824,000","796,000","179.39K","2.27%"
"2020년 07월 28일","794,000","788,000","802,000","786,000","0.15K","1.15%"
"2020년 07월 27일","785,000","798,000","807,000","785,000","0.00K","-2.12%"
"2020년 07월 26일","802,000","802,000","802,000","802,000","-","0.00%"
"2020년 07월 24일","802,000","805,000","828,000","796,000","195.45K","-1.11%"
"2020년 07월 23일","811,000","844,000","850,000","805,000","337.88K","-5.81%"
"2020년 07월 22일","861,000","851,000","866,000","836,000","0.20K","0.23%"
"2020년 07월 21일","859,000","860,000","876,000","856,000","0.15K","0.00%"
"2020년 07월 20일","859,000","881,000","881,000","848,000","0.00K","-2.39%"
"2020년 07월 17일","880,000","872,000","897,000","871,000","84.60K","0.11%"
"2020년 07월 16일","879,000","915,000","923,000","875,000","0.10K","-5.28%"
"2020년 07월 15일","928,000","946,000","958,000","925,000","0.02K","-1.90%"
"2020년 07월 14일","946,000","949,000","964,000","939,000","0.00K","-1.97%"
"2020년 07월 13일","965,000","954,000","978,000","953,000","0.05K","2.22%"
"2020년 07월 10일","944,000","947,000","975,000","940,000","127.32K","-0.32%"
"2020년 07월 09일","947,000","956,000","959,000","943,000","0.01K","0.21%"
"2020년 07월 08일","945,000","957,000","962,000","936,000","0.00K","-1.77%"
"2020년 07월 07일","962,000","979,000","979,000","960,000","0.08K","-3.32%"
"2020년 07월 06일","995,000","942,000","997,000","942,000","0.03K","5.40%"
"2020년 07월 05일","944,000","944,000","944,000","944,000","-","0.00%"
"2020년 07월 03일","944,000","961,000","963,000","941,000","81.11K","-2.07%"
"2020년 07월 02일","964,000","899,000","964,000","896,000","0.08K","7.95%"
"2020년 07월 01일","893,000","905,000","905,000","890,000","0.01K","0.22%"
"2020년 06월 30일","891,000","896,000","911,000","882,000","96.14K","0.11%"
"2020년 06월 29일","890,000","909,000","924,000","887,000","80.50K","-2.09%"
"2020년 06월 28일","909,000","909,000","909,000","909,000","-","0.00%"
"2020년 06월 26일","909,000","924,000","928,000","901,000","79.26K","-0.33%"
"2020년 06월 25일","912,000","935,000","940,000","912,000","83.45K","-3.29%"
"2020년 06월 24일","943,000","916,000","945,000","909,000","0.02K","2.50%"
"2020년 06월 23일","920,000","898,000","957,000","896,000","0.00K","3.60%"
"2020년 06월 22일","888,000","842,000","896,000","839,000","0.02K","3.62%"
"2020년 06월 21일","857,000","857,000","857,000","857,000","-","0.00%"
"2020년 06월 19일","857,000","843,000","857,000","824,000","99.49K","3.00%"
"2020년 06월 18일","832,000","857,000","863,000","832,000","114.17K","-3.93%"
"2020년 06월 17일","866,000","861,000","872,000","859,000","0.00K","-1.03%"
"2020년 06월 16일","875,000","825,000","875,000","820,000","133.72K","8.02%"
"2020년 06월 15일","810,000","816,000","853,000","806,000","151.94K","-1.70%"
"2020년 06월 14일","824,000","824,000","824,000","824,000","-","0.00%"
"2020년 06월 12일","824,000","812,000","836,000","801,000","100.92K","-0.12%"
"2020년 06월 11일","825,000","822,000","837,000","815,000","0.04K","0.36%"
"2020년 06월 10일","822,000","809,000","837,000","804,000","0.12K","2.75%"
"2020년 06월 09일","800,000","797,000","809,000","794,000","0.03K","0.38%"
"2020년 06월 08일","797,000","809,000","814,000","793,000","0.02K","-0.99%"
"2020년 06월 07일","805,000","805,000","805,000","805,000","-","0.00%"
"2020년 06월 05일","805,000","801,000","810,000","791,000","70.03K","0.63%"
"2020년 06월 04일","800,000","785,000","801,000","780,000","0.00K","1.01%"
"2020년 06월 03일","792,000","807,000","818,000","790,000","0.01K","-2.22%"
"2020년 06월 02일","810,000","813,000","823,000","808,000","67.15K","-0.74%"
"2020년 06월 01일","816,000","786,000","820,000","784,000","0.02K","3.29%"
"2020년 05월 31일","790,000","790,000","790,000","790,000","-","0.00%"
"2020년 05월 29일","790,000","804,000","813,000","790,000","105.94K","-0.25%"
"2020년 05월 28일","792,000","777,000","802,000","771,000","0.02K","0.64%"
"2020년 05월 27일","787,000","776,000","792,000","776,000","0.04K","-1.75%"
"2020년 05월 26일","801,000","813,000","825,000","786,000","0.07K","-1.35%"
"2020년 05월 25일","812,000","796,000","832,000","792,000","102.76K","2.78%"
"2020년 05월 24일","790,000","790,000","790,000","790,000","-","0.00%"
"2020년 05월 22일","790,000","794,000","799,000","777,000","93.05K","-0.25%"
"2020년 05월 21일","792,000","741,000","794,000","738,000","208.51K","5.60%"
"2020년 05월 20일","750,000","746,000","750,000","739,000","0.00K","2.46%"
"2020년 05월 19일","732,000","727,000","737,000","714,000","0.03K","0.69%"
"2020년 05월 18일","727,000","744,000","750,000","723,000","0.15K","-2.42%"
"2020년 05월 17일","745,000","745,000","745,000","745,000","-","0.00%"
"2020년 05월 15일","745,000","759,000","759,000","732,000","99.80K","-1.06%"
"2020년 05월 14일","753,000","730,000","759,000","728,000","207.36K","4.44%"
"2020년 05월 13일","721,000","747,000","754,000","715,000","0.06K","-3.48%"
"2020년 05월 12일","747,000","704,000","749,000","691,000","344.25K","6.87%"
"2020년 05월 11일","699,000","685,000","709,000","685,000","130.32K","2.95%"
"2020년 05월 10일","679,000","679,000","679,000","679,000","-","0.00%"
"2020년 05월 08일","679,000","653,000","688,000","650,000","193.92K","5.11%"
"2020년 05월 07일","646,000","641,000","652,000","639,000","85.76K","0.78%"
"2020년 05월 06일","641,000","639,000","641,000","629,000","79.32K","2.72%"
"2020년 05월 05일","624,000","624,000","624,000","624,000","-","0.00%"
"2020년 05월 04일","624,000","633,000","635,000","622,000","127.04K","-2.95%"
"2020년 05월 03일","643,000","643,000","643,000","643,000","-","0.00%"
"2020년 04월 29일","643,000","647,000","648,000","639,000","88.93K","-0.77%"
"2020년 04월 28일","648,000","631,000","648,000","630,000","100.69K","2.86%"
"2020년 04월 27일","630,000","650,000","653,000","625,000","215.25K","-3.52%"
"2020년 04월 26일","653,000","653,000","653,000","653,000","-","0.00%"
"2020년 04월 24일","653,000","656,000","673,000","648,000","98.32K","-1.21%"
"2020년 04월 23일","661,000","671,000","680,000","660,000","102.10K","-2.36%"
"2020년 04월 22일","677,000","641,000","677,000","632,000","139.63K","5.45%"
"2020년 04월 21일","642,000","644,000","650,000","620,000","123.99K","0.00%"
"2020년 04월 20일","642,000","649,000","657,000","638,000","116.28K","-1.08%"
"2020년 04월 19일","649,000","649,000","649,000","649,000","-","0.00%"
"2020년 04월 17일","649,000","661,000","664,000","645,000","138.47K","-0.92%"
"2020년 04월 16일","655,000","656,000","663,000","645,000","96.47K","-0.15%"
"2020년 04월 15일","656,000","656,000","656,000","656,000","-","0.00%"
"2020년 04월 14일","656,000","653,000","656,000","648,000","80.34K","0.77%"
"2020년 04월 13일","651,000","651,000","659,000","648,000","50.67K","0.15%"
"2020년 04월 12일","650,000","650,000","650,000","650,000","-","0.00%"
"2020년 04월 10일","650,000","657,000","659,000","645,000","75.15K","-0.76%"
"2020년 04월 09일","655,000","663,000","668,000","648,000","115.95K","-1.21%"
"2020년 04월 08일","663,000","667,000","675,000","659,000","106.23K","-1.78%"
"2020년 04월 07일","675,000","674,000","687,000","664,000","98.65K","-0.44%"
"2020년 04월 06일","678,000","652,000","678,000","651,000","97.00K","4.79%"
"2020년 04월 05일","647,000","647,000","647,000","647,000","-","0.00%"
"2020년 04월 03일","647,000","649,000","657,000","634,000","93.43K","-1.37%"
"2020년 04월 02일","656,000","638,000","666,000","620,000","131.63K","6.15%"
"2020년 04월 01일","618,000","647,000","670,000","614,000","121.92K","-5.21%"
"2020년 03월 31일","652,000","621,000","657,000","621,000","193.00K","4.49%"
"2020년 03월 30일","624,000","611,000","632,000","604,000","95.68K","0.32%"
"2020년 03월 27일","622,000","645,000","646,000","611,000","153.13K","-0.48%"
"2020년 03월 26일","625,000","652,000","660,000","621,000","0.02K","-3.99%"
"2020년 03월 25일","651,000","674,000","689,000","626,000","0.01K","0.31%"
"2020년 03월 24일","649,000","587,000","650,000","584,000","223.86K","13.46%"
"2020년 03월 23일","572,000","532,000","596,000","532,000","0.01K","0.88%"
"2020년 03월 22일","567,000","567,000","567,000","567,000","-","0.00%"
"2020년 03월 20일","567,000","559,000","574,000","542,000","236.05K","6.98%"
"2020년 03월 19일","530,000","580,000","588,000","504,000","399.70K","-7.02%"
"2020년 03월 18일","570,000","583,000","608,000","570,000","210.86K","-1.21%"
"2020년 03월 17일","577,000","561,000","597,000","561,000","270.57K","-3.03%"
"2020년 03월 16일","595,000","636,000","656,000","593,000","199.17K","-7.18%"
"2020년 03월 15일","641,000","641,000","641,000","641,000","-","0.00%"
"2020년 03월 13일","641,000","581,000","661,000","580,000","220.04K","0.00%"
"2020년 03월 12일","641,000","661,000","661,000","620,000","178.76K","-3.75%"
"2020년 03월 11일","666,000","671,000","680,000","654,000","112.10K","-1.48%"
"2020년 03월 10일","676,000","666,000","689,000","666,000","116.95K","-0.59%"
"2020년 03월 09일","680,000","695,000","696,000","671,000","93.20K","-2.86%"
"2020년 03월 06일","700,000","703,000","707,000","694,000","80.23K","-1.55%"
"2020년 03월 05일","711,000","722,000","725,000","705,000","105.76K","-1.25%"
"2020년 03월 04일","720,000","698,000","723,000","692,000","154.89K","6.04%"
"2020년 03월 03일","679,000","675,000","686,000","669,000","111.83K","2.72%"
"2020년 03월 02일","661,000","657,000","665,000","639,000","75.85K","1.85%"
"2020년 03월 01일","649,000","649,000","649,000","649,000","-","0.00%"
"2020년 02월 28일","649,000","654,000","659,000","641,000","122.07K","-0.76%"
"2020년 02월 27일","654,000","668,000","675,000","649,000","68.66K","-2.68%"
"2020년 02월 26일","672,000","665,000","673,000","657,000","89.49K","0.45%"
"2020년 02월 25일","669,000","667,000","669,000","648,000","92.38K","0.90%"
"2020년 02월 24일","663,000","670,000","687,000","661,000","95.74K","-0.90%"
"2020년 02월 23일","669,000","669,000","669,000","669,000","-","0.00%"
"2020년 02월 21일","669,000","661,000","689,000","661,000","79.74K","-1.04%"
"2020년 02월 20일","676,000","700,000","711,000","674,000","109.91K","-1.60%"
"2020년 02월 19일","687,000","667,000","689,000","660,000","139.83K","4.89%"
"2020년 02월 18일","655,000","652,000","658,000","646,000","52.26K","-0.46%"
"2020년 02월 17일","658,000","660,000","666,000","651,000","44.65K","0.15%"
"2020년 02월 14일","657,000","635,000","661,000","630,000","148.50K","4.45%"
"2020년 02월 13일","629,000","647,000","654,000","624,000","156.01K","-3.23%"
"2020년 02월 12일","650,000","636,000","660,000","635,000","165.37K","0.93%"
"2020년 02월 11일","644,000","648,000","656,000","631,000","119.07K","-0.62%"
"2020년 02월 10일","648,000","661,000","669,000","638,000","120.81K","-3.57%"
"2020년 02월 07일","672,000","663,000","677,000","662,000","58.74K","0.30%"
"2020년 02월 06일","670,000","663,000","675,000","657,000","79.68K","1.98%"
"2020년 02월 05일","657,000","652,000","664,000","651,000","67.16K","0.15%"
"2020년 02월 04일","656,000","646,000","660,000","638,000","71.36K","2.50%"
"2020년 02월 03일","640,000","636,000","648,000","633,000","87.75K","0.63%"
"2020년 02월 02일","636,000","636,000","636,000","636,000","-","0.00%"
"2020년 01월 31일","636,000","659,000","659,000","632,000","106.96K","-2.90%"
"2020년 01월 30일","655,000","651,000","665,000","651,000","77.32K","0.92%"
"2020년 01월 29일","649,000","644,000","658,000","641,000","64.03K","0.78%"
"2020년 01월 28일","644,000","637,000","652,000","636,000","90.45K","-0.31%"
"2020년 01월 23일","646,000","640,000","646,000","638,000","51.06K","0.47%"
"2020년 01월 22일","643,000","638,000","644,000","632,000","56.12K","1.74%"
"2020년 01월 21일","632,000","630,000","641,000","627,000","59.89K","0.32%"
"2020년 01월 20일","630,000","632,000","641,000","627,000","40.76K","-0.16%"
"2020년 01월 17일","631,000","633,000","641,000","625,000","48.95K","-0.16%"
"2020년 01월 16일","632,000","624,000","637,000","617,000","79.68K","2.10%"
"2020년 01월 15일","619,000","608,000","622,000","608,000","56.82K","1.48%"
"2020년 01월 14일","610,000","614,000","615,000","605,000","64.10K","-0.65%"
"2020년 01월 13일","614,000","605,000","615,000","604,000","66.08K","0.99%"
"2020년 01월 10일","608,000","605,000","618,000","605,000","53.03K","0.00%"
"2020년 01월 09일","608,000","597,000","608,000","596,000","71.16K","0.66%"
"2020년 01월 08일","604,000","587,000","604,000","584,000","109.26K","1.68%"
"2020년 01월 07일","594,000","583,000","596,000","574,000","84.34K","2.59%"
"2020년 01월 06일","579,000","562,000","587,000","562,000","106.96K","2.48%"
"2020년 01월 05일","565,000","565,000","565,000","565,000","-","0.00%"
"2020년 01월 03일","565,000","547,000","568,000","542,000","112.33K","4.44%"
"2020년 01월 02일","541,000","542,000","545,000","539,000","40.21K","0.00%"
"2019년 12월 30일","541,000","543,000","545,000","538,000","36.01K","0.00%"
"2019년 12월 27일","541,000","538,000","543,000","533,000","50.22K","0.74%"
"2019년 12월 26일","537,000","535,000","537,000","530,000","43.30K","0.75%"
"2019년 12월 24일","533,000","540,000","542,000","533,000","33.50K","-1.30%"
"2019년 12월 23일","540,000","541,000","543,000","534,000","43.97K","0.19%"
"2019년 12월 22일","539,000","539,000","539,000","539,000","-","0.00%"
"2019년 12월 20일","539,000","535,000","543,000","533,000","65.11K","1.13%"
"2019년 12월 19일","533,000","543,000","543,000","529,000","63.91K","-1.48%"
"2019년 12월 18일","541,000","539,000","543,000","537,000","37.83K","0.37%"
"2019년 12월 17일","539,000","538,000","546,000","536,000","68.72K","-0.55%"
"2019년 12월 16일","542,000","534,000","544,000","532,000","59.68K","0.74%"
"2019년 12월 15일","538,000","538,000","538,000","538,000","-","0.00%"
"2019년 12월 13일","538,000","541,000","545,000","531,000","81.19K","0.37%"
"2019년 12월 12일","536,000","547,000","550,000","533,000","150.46K","-1.65%"
"2019년 12월 11일","545,000","544,000","551,000","540,000","77.08K","0.93%"
"2019년 12월 10일","540,000","537,000","543,000","532,000","66.67K","0.00%"
"2019년 12월 09일","540,000","540,000","543,000","530,000","68.74K","0.19%"
"2019년 12월 08일","539,000","539,000","539,000","539,000","-","0.00%"
"2019년 12월 06일","539,000","506,000","541,000","505,000","199.22K","7.37%"
"2019년 12월 05일","502,000","501,000","506,000","497,500","108.68K","0.40%"
"2019년 12월 04일","500,000","483,500","500,000","483,500","152.82K","3.09%"
"2019년 12월 03일","485,000","486,000","486,000","474,500","109.34K","-0.41%"
"2019년 12월 02일","487,000","500,000","504,000","483,000","175.88K","-1.22%"
"2019년 11월 29일","493,000","507,000","507,000","488,500","128.22K","-1.20%"
"2019년 11월 28일","499,000","497,500","502,000","493,500","160.38K","-1.19%"
"2019년 11월 27일","505,000","489,500","510,000","483,000","304.98K","-3.07%"
"2019년 11월 26일","521,000","534,000","535,000","513,000","185.25K","-2.62%"
"2019년 11월 25일","535,000","534,000","541,000","527,000","69.40K","0.38%"
"2019년 11월 22일","533,000","539,000","546,000","528,000","58.07K","-1.48%"
"2019년 11월 21일","541,000","557,000","559,000","536,000","112.55K","-2.70%"
"2019년 11월 20일","556,000","555,000","561,000","550,000","53.58K","-0.89%"
"2019년 11월 19일","561,000","550,000","563,000","548,000","80.80K","1.45%"
"2019년 11월 18일","553,000","553,000","557,000","545,000","77.91K","0.73%"
"2019년 11월 17일","549,000","549,000","549,000","549,000","-","0.00%"
"2019년 11월 15일","549,000","533,000","552,000","528,000","90.41K","4.37%"
"2019년 11월 14일","526,000","530,000","530,000","521,000","57.57K","0.57%"
"2019년 11월 13일","523,000","528,000","531,000","516,000","86.70K","-2.06%"
"2019년 11월 12일","534,000","523,000","535,000","519,000","48.88K","2.30%"
"2019년 11월 11일","522,000","530,000","532,000","518,000","54.49K","-1.32%"
"2019년 11월 10일","529,000","529,000","529,000","529,000","-","0.00%"
"2019년 11월 08일","529,000","536,000","541,000","526,000","58.54K","-2.04%"
"2019년 11월 07일","540,000","540,000","544,000","537,000","49.24K","0.19%"
"2019년 11월 06일","539,000","551,000","554,000","537,000","76.27K","-1.82%"
"2019년 11월 05일","549,000","543,000","552,000","539,000","56.68K","1.86%"
"2019년 11월 04일","539,000","539,000","547,000","536,000","51.50K","0.19%"
"2019년 11월 01일","538,000","515,000","541,000","515,000","79.72K","4.26%"
"2019년 10월 31일","516,000","519,000","526,000","516,000","55.46K","-0.58%"
"2019년 10월 30일","519,000","527,000","528,000","516,000","72.76K","1.17%"
"2019년 10월 29일","513,000","515,000","519,000","510,000","40.42K","0.00%"
"2019년 10월 28일","513,000","527,000","527,000","512,000","39.66K","-1.91%"
"2019년 10월 27일","523,000","523,000","523,000","523,000","-","0.00%"
"2019년 10월 25일","523,000","528,000","529,000","519,000","36.84K","-1.13%"
"2019년 10월 24일","529,000","523,000","532,000","522,000","42.87K","1.15%"
"2019년 10월 23일","523,000","524,000","527,000","516,000","35.29K","-0.19%"
"2019년 10월 22일","524,000","533,000","537,000","523,000","50.80K","-1.87%"
"2019년 10월 21일","534,000","520,000","534,000","516,000","75.36K","3.69%"
"2019년 10월 18일","515,000","517,000","520,000","513,000","36.68K","-0.19%"
"2019년 10월 17일","516,000","511,000","517,000","505,000","67.15K","1.98%"
"2019년 10월 16일","506,000","516,000","520,000","501,000","76.86K","-2.13%"
"2019년 10월 15일","517,000","521,000","522,000","514,000","29.13K","-0.19%"
"2019년 10월 14일","518,000","521,000","522,000","512,000","33.16K","0.39%"
"2019년 10월 11일","516,000","526,000","526,000","516,000","41.70K","-0.96%"
"2019년 10월 10일","521,000","524,000","527,000","512,000","87.75K","0.00%"
"2019년 10월 09일","521,000","521,000","521,000","521,000","-","0.00%"
"2019년 10월 08일","521,000","519,000","525,000","511,000","51.41K","1.96%"
"2019년 10월 07일","511,000","509,000","515,000","506,000","45.65K","0.99%"
"2019년 10월 04일","506,000","508,000","513,000","504,000","56.81K","-0.78%"
"2019년 10월 02일","510,000","526,000","526,000","508,000","68.11K","-3.04%"
"2019년 10월 01일","526,000","521,000","529,000","517,000","34.91K","0.96%"
"2019년 09월 30일","521,000","523,000","525,000","515,000","54.09K","-0.38%"
"2019년 09월 27일","523,000","530,000","530,000","521,000","36.98K","-1.32%"
"2019년 09월 26일","530,000","520,000","530,000","519,000","58.30K","1.53%"
"2019년 09월 25일","522,000","528,000","529,000","516,000","55.05K","-0.95%"
"2019년 09월 24일","527,000","522,000","527,000","514,000","52.96K","0.96%"
"2019년 09월 23일","522,000","519,000","527,000","517,000","29.20K","0.19%"
"2019년 09월 22일","521,000","521,000","521,000","521,000","-","0.00%"
"2019년 09월 20일","521,000","520,000","526,000","516,000","65.19K","-0.76%"
"2019년 09월 19일","525,000","525,000","531,000","523,000","27.62K","0.19%"
"2019년 09월 18일","524,000","522,000","531,000","521,000","61.85K","0.38%"
"2019년 09월 17일","522,000","523,000","528,000","519,000","59.90K","-1.14%"
"2019년 09월 16일","528,000","547,000","552,000","521,000","135.30K","-2.94%"
"2019년 09월 11일","544,000","553,000","553,000","543,000","160.50K","-1.27%"
"2019년 09월 10일","551,000","553,000","556,000","548,000","54.73K","-0.18%"
"2019년 09월 09일","552,000","553,000","558,000","549,000","66.15K","0.00%"
"2019년 09월 06일","552,000","539,000","554,000","539,000","95.70K","1.66%"
"2019년 09월 05일","543,000","544,000","550,000","540,000","131.45K","-1.45%"
"2019년 09월 04일","551,000","550,000","552,000","543,000","67.30K","0.18%"
"2019년 09월 03일","550,000","549,000","552,000","547,000","58.05K","0.00%"
"2019년 09월 02일","550,000","545,000","552,000","537,000","71.56K","2.42%"
"2019년 08월 30일","537,000","535,000","541,000","532,000","56.45K","0.56%"
"2019년 08월 29일","534,000","539,000","539,000","529,000","42.83K","-0.93%"
"2019년 08월 28일","539,000","534,000","540,000","527,000","45.02K","1.51%"
"2019년 08월 27일","531,000","534,000","534,000","527,000","66.51K","0.00%"
"2019년 08월 26일","531,000","524,000","535,000","521,000","45.55K","0.00%"
"2019년 08월 23일","531,000","540,000","541,000","529,000","57.82K","-1.48%"
"2019년 08월 22일","539,000","537,000","543,000","534,000","54.11K","0.56%"
"2019년 08월 21일","536,000","539,000","541,000","532,000","81.69K","-0.56%"
"2019년 08월 20일","539,000","529,000","539,000","526,000","60.67K","2.08%"
"2019년 08월 19일","528,000","522,000","528,000","517,000","50.38K","1.93%"
"2019년 08월 16일","518,000","518,000","526,000","513,000","73.04K","-0.96%"
"2019년 08월 14일","523,000","520,000","525,000","516,000","68.52K","0.19%"
"2019년 08월 13일","522,000","516,000","527,000","516,000","34.15K","-0.38%"
"2019년 08월 12일","524,000","529,000","534,000","521,000","29.62K","-0.76%"
"2019년 08월 09일","528,000","525,000","533,000","523,000","58.88K","1.54%"
"2019년 08월 08일","520,000","519,000","520,000","509,000","95.50K","1.76%"
"2019년 08월 07일","511,000","517,000","517,000","508,000","53.66K","0.59%"
"2019년 08월 06일","508,000","515,000","516,000","504,000","101.95K","-2.68%"
"2019년 08월 05일","522,000","520,000","526,000","515,000","94.02K","0.38%"
