"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 01월 04일","204,000","213,000","213,500","203,500","115.28K","-4.23%"
"2015년 12월 30일","213,000","211,000","214,500","211,000","51.34K","1.19%"
"2015년 12월 29일","210,500","208,000","212,500","207,000","63.42K","0.96%"
"2015년 12월 28일","208,500","215,000","215,500","208,000","98.46K","-2.57%"
"2015년 12월 27일","214,000","214,000","214,000","214,000","0.03K","0.00%"
"2015년 12월 24일","214,000","220,000","220,500","212,500","103.44K","-2.51%"
"2015년 12월 23일","219,500","218,000","220,000","214,000","118.96K","1.39%"
"2015년 12월 22일","216,500","219,000","219,500","215,500","70.48K","-0.69%"
"2015년 12월 21일","218,000","218,000","220,500","216,500","105.10K","1.16%"
"2015년 12월 20일","215,500","215,500","215,500","215,500","-","0.00%"
"2015년 12월 18일","215,500","217,000","219,500","214,500","92.63K","-2.27%"
"2015년 12월 17일","220,500","220,000","221,000","215,500","95.50K","1.38%"
"2015년 12월 16일","217,500","216,000","220,500","213,000","121.04K","2.84%"
"2015년 12월 15일","211,500","221,000","221,500","211,000","140.68K","-4.08%"
"2015년 12월 14일","220,500","218,500","221,500","215,000","104.70K","-0.23%"
"2015년 12월 11일","221,000","225,500","228,000","220,000","100.42K","-2.00%"
"2015년 12월 10일","225,500","212,500","227,000","211,000","350.93K","8.15%"
"2015년 12월 09일","208,500","229,000","230,000","206,500","434.32K","-6.08%"
"2015년 12월 08일","222,000","219,000","222,500","215,000","89.51K","0.91%"
"2015년 12월 07일","220,000","218,500","223,000","214,500","84.39K","1.38%"
"2015년 12월 04일","217,000","218,500","222,000","216,500","67.62K","-1.36%"
"2015년 12월 03일","220,000","213,500","221,500","213,500","94.07K","2.09%"
"2015년 12월 02일","215,500","220,500","222,000","215,500","113.36K","-2.27%"
"2015년 12월 01일","220,500","223,500","224,000","220,000","124.86K","-0.90%"
"2015년 11월 30일","222,500","224,500","226,000","219,000","276.97K","-0.67%"
"2015년 11월 29일","224,000","224,000","224,000","224,000","0.03K","0.00%"
"2015년 11월 27일","224,000","218,500","226,000","217,000","227.76K","3.70%"
"2015년 11월 26일","216,000","219,000","219,500","215,000","83.49K","-1.14%"
"2015년 11월 25일","218,500","215,000","220,000","212,500","100.06K","1.63%"
"2015년 11월 24일","215,000","218,000","219,000","213,500","120.62K","-1.60%"
"2015년 11월 23일","218,500","220,500","222,500","217,000","154.90K","0.23%"
"2015년 11월 22일","218,000","218,000","218,000","218,000","-","0.00%"
"2015년 11월 20일","218,000","213,000","218,500","210,000","178.06K","3.07%"
"2015년 11월 19일","211,500","213,500","213,500","206,000","219.72K","-1.17%"
"2015년 11월 18일","214,000","209,000","215,000","207,000","89.86K","2.39%"
"2015년 11월 17일","209,000","214,000","214,500","207,500","116.62K","-0.95%"
"2015년 11월 16일","211,000","210,000","214,000","208,000","107.06K","-1.40%"
"2015년 11월 15일","214,000","214,000","214,000","214,000","0.01K","0.00%"
"2015년 11월 13일","214,000","212,500","215,000","210,500","109.49K","0.23%"
"2015년 11월 12일","213,500","207,500","217,000","207,500","137.06K","2.15%"
"2015년 11월 11일","209,000","206,000","212,500","205,500","107.56K","0.48%"
"2015년 11월 10일","208,000","207,500","211,000","203,500","174.17K","-1.42%"
"2015년 11월 09일","211,000","213,000","213,000","207,000","122.43K","-0.71%"
"2015년 11월 08일","212,500","212,500","212,500","212,500","0.08K","0.00%"
"2015년 11월 06일","212,500","209,500","214,000","209,500","106.71K","0.24%"
"2015년 11월 05일","212,000","210,500","217,000","208,000","367.60K","0.95%"
"2015년 11월 04일","210,000","184,500","210,000","181,500","890.88K","11.70%"
"2015년 11월 03일","188,000","184,500","188,500","183,500","152.02K","1.08%"
"2015년 11월 02일","186,000","188,000","188,500","183,500","162.07K","-1.85%"
"2015년 11월 01일","189,500","189,500","189,500","189,500","0.13K","0.00%"
"2015년 10월 30일","189,500","185,500","189,500","184,000","198.08K","0.53%"
"2015년 10월 29일","188,500","186,500","189,500","186,000","178.44K","1.62%"
"2015년 10월 28일","185,500","185,500","187,000","184,000","161.11K","-0.54%"
"2015년 10월 27일","186,500","189,500","189,500","185,500","199.63K","-1.58%"
"2015년 10월 26일","189,500","189,000","190,000","186,500","212.44K","0.53%"
"2015년 10월 25일","188,500","188,500","188,500","188,500","2.27K","0.00%"
"2015년 10월 23일","188,500","184,500","189,000","184,500","324.77K","3.57%"
"2015년 10월 22일","182,000","184,500","186,000","181,500","365.70K","-0.82%"
"2015년 10월 21일","183,500","194,500","195,000","183,500","647.66K","-4.92%"
"2015년 10월 20일","193,000","195,000","197,000","192,500","224.69K","-0.52%"
"2015년 10월 19일","194,000","199,000","201,500","191,500","468.26K","-1.27%"
"2015년 10월 18일","196,500","196,500","196,500","196,500","-","0.00%"
"2015년 10월 16일","196,500","193,500","202,500","193,500","978.27K","0.00%"
"2015년 10월 15일","196,500","199,000","200,500","195,000","130.74K","-0.76%"
"2015년 10월 14일","198,000","196,500","199,000","194,500","189.01K","2.06%"
"2015년 10월 13일","194,000","194,500","198,500","193,500","111.48K","0.26%"
"2015년 10월 12일","193,500","195,000","199,000","192,000","141.91K","-0.77%"
"2015년 10월 11일","195,000","195,000","195,000","195,000","0.01K","0.00%"
"2015년 10월 08일","195,000","191,500","196,000","191,000","115.17K","2.36%"
"2015년 10월 07일","190,500","191,000","194,500","190,000","73.77K","-1.04%"
"2015년 10월 06일","192,500","196,000","196,500","191,000","84.02K","-0.77%"
"2015년 10월 05일","194,000","194,500","196,500","193,000","72.70K","0.26%"
"2015년 10월 04일","193,500","193,500","193,500","193,500","0.02K","0.00%"
"2015년 10월 02일","193,500","196,500","197,000","192,500","112.83K","-0.77%"
"2015년 10월 01일","195,000","190,500","196,000","190,500","133.58K","3.17%"
"2015년 09월 30일","189,000","187,000","190,500","186,000","71.98K","-0.79%"
"2015년 09월 29일","190,500","190,500","190,500","190,500","0.05K","0.00%"
"2015년 09월 25일","190,500","189,500","190,500","186,500","63.31K","0.53%"
"2015년 09월 24일","189,500","185,500","190,500","184,500","91.06K","3.55%"
"2015년 09월 23일","183,000","187,500","188,500","182,500","142.21K","-3.17%"
"2015년 09월 22일","189,000","191,000","192,000","188,000","88.10K","-0.79%"
"2015년 09월 21일","190,500","192,000","193,000","187,000","116.65K","-1.04%"
"2015년 09월 20일","192,500","192,500","192,500","192,500","0.13K","0.00%"
"2015년 09월 18일","192,500","190,000","195,000","189,500","114.80K","2.12%"
"2015년 09월 17일","188,500","193,000","195,000","188,500","154.78K","-1.31%"
"2015년 09월 16일","191,000","192,000","193,000","190,500","81.05K","-0.52%"
"2015년 09월 15일","192,000","195,000","196,000","187,000","135.92K","-2.04%"
"2015년 09월 14일","196,000","197,000","198,000","193,500","54.38K","0.51%"
"2015년 09월 11일","195,000","196,000","197,500","194,000","85.49K","0.52%"
"2015년 09월 10일","194,000","193,000","195,000","191,500","95.65K","0.00%"
"2015년 09월 09일","194,000","191,500","195,500","188,500","150.11K","2.92%"
"2015년 09월 08일","188,500","191,500","194,500","187,000","88.05K","-1.82%"
"2015년 09월 07일","192,000","186,000","194,000","186,000","144.54K","3.50%"
"2015년 09월 06일","185,500","185,500","185,500","185,500","0.30K","0.00%"
"2015년 09월 04일","185,500","192,000","193,000","185,000","203.70K","-2.62%"
"2015년 09월 03일","190,500","204,000","204,500","189,000","293.39K","-5.46%"
"2015년 09월 02일","201,500","201,000","208,500","200,000","232.44K","0.50%"
