"2012년 10월 01일","한국","서울 증권 거래소","Korean Thanksgiving Day"
2018년 09월 26일	 한국	서울 증권 거래소	추석
2018년 10월 03일	 한국	서울 증권 거래소	개천절
2018년 10월 09일	 한국	서울 증권 거래소	한글날
2018년 12월 25일	 한국	서울 증권 거래소	성탄절
2018년 12월 31일	 한국	서울 증권 거래소	End of year
2019년 01월 01일	 한국	서울 증권 거래소	신년
2019년 02월 04일	 한국	서울 증권 거래소	설날 (음력 신년)
2019년 02월 05일	 한국	서울 증권 거래소	설날 (음력 신년)
2019년 02월 06일	 한국	서울 증권 거래소	설날 (음력 신년)
2019년 03월 01일	 한국	서울 증권 거래소	삼일절
2019년 05월 01일	 한국	서울 증권 거래소	노동절
2019년 05월 06일	 한국	서울 증권 거래소	어린이 날
2019년 06월 06일	 한국	서울 증권 거래소	현충일
2019년 08월 15일	 한국	서울 증권 거래소	광복절
2019년 09월 12일	 한국	서울 증권 거래소	추석
2019년 09월 13일	 한국	서울 증권 거래소	추석
2019년 10월 03일	 한국	서울 증권 거래소	개천절
2019년 10월 09일	 한국	서울 증권 거래소	선언의 날
2019년 12월 25일	 한국	서울 증권 거래소	성탄절
2019년 12월 31일	 한국	서울 증권 거래소	End of year
2020년 01월 01일	 한국	서울 증권 거래소	신년
2020년 01월 24일	 한국	서울 증권 거래소	새해
2020년 01월 27일	 한국	서울 증권 거래소	마켓 휴일
2020년 04월 15일	 한국	서울 증권 거래소	선거일
2020년 04월 30일	 한국	서울 증권 거래소	석가탄신일
2020년 05월 01일	 한국	서울 증권 거래소	노동절
2020년 05월 05일	 한국	서울 증권 거래소	어린이 날
2020년 08월 17일	 한국	서울 증권 거래소	광복절
2020년 09월 30일	 한국	서울 증권 거래소	추석
2020년 10월 01일	 한국	서울 증권 거래소	추석
2020년 10월 02일	 한국	서울 증권 거래소	추석
2020년 10월 09일	 한국	서울 증권 거래소	한글날
