"날짜","종가","오픈","고가","저가","변동"
"2011년 02월 14일","1,124.00","1,121.50","1,126.90","1,118.40","-0.24%"
"2011년 02월 11일","1,126.65","1,117.25","1,131.75","1,113.65","0.68%"
"2011년 02월 10일","1,119.00","1,112.40","1,124.90","1,109.80","0.75%"
"2011년 02월 09일","1,110.65","1,099.25","1,111.40","1,099.25","0.88%"
"2011년 02월 08일","1,101.00","1,104.00","1,107.60","1,101.00","-0.23%"
"2011년 02월 07일","1,103.50","1,115.10","1,115.10","1,103.50","-0.94%"
"2011년 02월 04일","1,113.95","1,113.95","1,113.95","1,113.95","0.00%"
"2011년 02월 03일","1,113.95","1,113.95","1,113.95","1,113.95","0.00%"
"2011년 02월 02일","1,113.95","1,113.95","1,113.95","1,113.95","0.00%"
"2011년 02월 01일","1,113.95","1,119.35","1,119.65","1,113.95","-0.53%"
"2011년 01월 31일","1,119.88","1,116.22","1,125.12","1,116.22","0.35%"
"2011년 01월 28일","1,115.95","1,112.75","1,115.95","1,110.25","0.13%"
"2011년 01월 27일","1,114.45","1,115.15","1,118.15","1,110.85","-0.18%"
"2011년 01월 26일","1,116.50","1,120.50","1,121.20","1,116.50","-0.40%"
"2011년 01월 25일","1,121.00","1,120.00","1,123.60","1,118.05","0.22%"
"2011년 01월 24일","1,118.50","1,118.50","1,123.10","1,118.30","0.00%"
"2011년 01월 21일","1,118.50","1,120.30","1,125.40","1,117.40","-0.53%"
"2011년 01월 20일","1,124.50","1,112.60","1,126.60","1,112.60","1.07%"
"2011년 01월 19일","1,112.60","1,111.50","1,114.90","1,108.20","-0.04%"
"2011년 01월 18일","1,113.00","1,117.00","1,121.50","1,112.95","-0.22%"
"2011년 01월 17일","1,115.50","1,115.05","1,119.00","1,110.40","0.04%"
"2011년 01월 14일","1,115.05","1,112.50","1,119.30","1,109.40","0.23%"
"2011년 01월 13일","1,112.50","1,109.50","1,114.90","1,107.50","0.09%"
"2011년 01월 12일","1,111.50","1,126.50","1,126.50","1,114.10","-1.29%"
"2011년 01월 11일","1,126.00","1,127.00","1,131.40","1,121.80","-0.13%"
"2011년 01월 10일","1,127.50","1,124.20","1,134.05","1,120.10","0.47%"
"2011년 01월 07일","1,122.20","1,122.40","1,126.70","1,118.60","-0.09%"
"2011년 01월 06일","1,123.20","1,122.50","1,124.90","1,117.70","-0.03%"
"2011년 01월 05일","1,123.50","1,125.50","1,129.50","1,123.30","-0.18%"
"2011년 01월 04일","1,125.50","1,125.80","1,127.20","1,120.30","0.08%"
"2011년 01월 03일","1,124.65","1,120.85","1,131.75","1,120.85","0.30%"
